"How, if in any way, this course helped you prepare for school opening after COVID-19?",The independent online work activities were well-designed to help me meet the learning targets.,The Zoom meeting activities were well-designed to help me meet the learning targets.,I felt a sense of community with the other participants in this course even though we were meeting virtually.,This course helped me navigate remote and/or hybrid learning during COVID-19.
I don't think this course specifically helped with remote learning,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree
It has not helped at all.,Strongly disagree,Strongly disagree,Agree,Strongly disagree
1,Strongly disagree,Disagree,Strongly agree,Disagree
"Encouraging me to stay strong and focus on what matters most, which is the scholars and their progress.",Neither agree nor disagree,Neither agree nor disagree,Agree,Agree
"Strategies were provided, however, more discussion utilizing online environments would be helpful",Agree,Agree,Strongly agree,Disagree
N/A,Neither agree nor disagree,Disagree,Agree,Strongly disagree
The course has helped me to understand which parts will help me to reach my struggling learners the best and where to locate it in the lesson plan.,Agree,Agree,Strongly agree,Strongly agree
This course helped me to understand the EL curriculum and also has given me ideas to try in my classroom.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
The course helped me navigate remote learning with power point slides and ways to access the text online by using pdf's.,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
5,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Remote learning is new and challenging for educators in my school District.  I look forward to more PD regarding remote strategies for presenting the EL curriculum.,Strongly agree,Strongly agree,Strongly agree,Disagree
I felt that we were not given enough time to really dig deep into the lessons and how to begin delivering. For example we had a short amount of time to complete the course work. I was stressed about completing and was not able to fully enthrawl myself in each lesson.,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
4,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
"This course did not really help me navigate remote learning. There was a lot of reference to the workbooks and teacher manuals that our school does not have. I am familiar with navigating LearnZillion from other professional learning sessions, but this one did not have a large focus on it besides the one session that had us navigate to different modules.",Strongly agree,Agree,Agree,Disagree
I understand more on how to navigate materials.,Agree,Agree,Disagree,Neither agree nor disagree
"RTTW strategies4T'sLooking at materials, lesson, tools.",Strongly agree,Strongly agree,Agree,Agree
4,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This hasn't really helped much with the hybrid learning.,Agree,Agree,Agree,Neither agree nor disagree
The lessons were easy to navigate through.,Agree,Agree,Agree,Agree
4,Neither agree nor disagree,Agree,Strongly agree,Strongly agree
This course helped me collaborate with my team to answer questions regarding the curriculum.,Neither agree nor disagree,Disagree,Agree,Disagree
I am not sure it has helped me to actually teach the EL Skills Block. ,Neither agree nor disagree,Agree,Strongly agree,Disagree
Talking with other teachers virtually allowed us to see different perspectives and gather ideas from each other.,Agree,Agree,Agree,Agree
It did not help.,Agree,Agree,Agree,Strongly disagree
4,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
3,Agree,Agree,Strongly agree,Strongly agree
This course helped me to better navigate the curriculum and collaborate with my team to answer much needed questions.,Agree,Agree,Strongly agree,Agree
Planning,Agree,Agree,Agree,Agree
3,Strongly agree,Agree,Agree,Agree
I love seeing model Nearpod lessons and strategies you can use to make lessons more interactive and interesting to our scholars.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Student talk does not really happen this year. I make instruction videos that the kids watch on their own schedule. There is no interaction between the students.,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree
Discussing ideas with others.,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
Just being able to voice our struggles and frustrations and collaboration into possible helpful options,Agree,Agree,Agree,Agree
We would bring up issues and try and problem solve through them. The facilitators did a nice job of fielding questions and posing ideas.,Agree,Agree,Strongly agree,Agree
There are so many platforms and technology to use.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
With a better way of tracking student progress.,Agree,Agree,Agree,Agree
It would have and but we took it after the beginning of the year.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I didn't feel that I learned how to navigate teaching EL virtually.,Neither agree nor disagree,Disagree,Agree,Disagree
I was introduced to Open Up Resources and was happy to be able to access material online. I also joined the Facebook page to get current information.,Agree,Agree,Agree,Agree
The Open Up Resources and Facebook Page will help me navigate remote and hybrid learning. I love the resources.,Agree,Agree,Agree,Agree
It has helped me to create habits even though we are learning remotely. Our schedule will be in the same in school and I will continue to make each lesson my own to keep the students engaged and learning. ,Strongly agree,Strongly agree,Strongly agree,Strongly agree
4,Agree,Agree,Agree,Agree
Every session prepares me for diverse learners,Strongly agree,Strongly agree,Strongly agree,Strongly agree
None,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"The course focused on writing skills and strategies, nothing focused on remote learning.",Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
I am to look at my students writing in a new way.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I feel that I have gain immense knowledge that will help me beyond in the traditional classroom setting.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
5,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"It helped us look at where we can use reference guides, and how optional activities to support our students when needed.",Strongly agree,Strongly agree,Strongly agree,Agree
It´s allowed me to access students work online in an easier way.,Agree,Agree,Agree,Agree
This course has help me in planning and prioritizing specific support my students will need to be effective writers.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It was helpful to see how zoom breakout rooms can be utilized along with a self-led PP.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"Tips on what reference guides to potentially utilize when we are in a bit of a ""time crunch""",Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
1,Strongly agree,Strongly agree,Strongly agree,Disagree
4,Strongly agree,Strongly agree,Agree,Agree
This course did not help me navigate remote or hybrid learning.,Strongly agree,Strongly agree,Agree,Disagree
I gained some wonderful resources from my fellow CMSD teachers while in small groups. I will be able to use these resources in my upcoming lessons.,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree
I am an Intervention Specialist and this course help me understand EL in a more engaging way. The tips and tricks I learned can be brought to my remote learning classroom.,Agree,Agree,Agree,Neither agree nor disagree
I believe it helped the most because EL was new to our school and it is hard to navigate. Justin helped alot with making sure we knew where to find things and sort through the material. Now I am able to finally figure it all out.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"I do not believe that this course was targeted towards remote learning. I think that because I was at home and working in a remote setting, it made it much easier for me to attend the class and complete the independent work, but I do not think that I learned much about bringing this curriculum to a remote set of learners.",Agree,Agree,Agree,Agree
3,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
This course allowed me to get a better/deeper understanding of the EL curriculum and its overall purpose.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
4,Agree,Agree,Agree,Agree
3,Strongly agree,Agree,Strongly agree,Strongly agree
The more I have the opportunity to navigate the platform the better. We had the opportunity to navigate during asynchronous and synchronous times.,Strongly agree,Agree,Strongly agree,Agree
5,Strongly agree,Strongly agree,Agree,Agree
5,Agree,Agree,Agree,Agree
This course helped me to understand the 4 t's and how the rttw structure is used in the curriculum.,Agree,Agree,Agree,Neither agree nor disagree
"I gained some techniques from the instructors, through observation, on how to differentiate my discussion on zoom.",Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
This is good information for new or struggling teachers. I feel this is a college methods course. All of the content is good. It would help teachers more to have strategies and supports for what we are doing now. Many of the things we are learning will help when we have children in front of us. The struggle to get kids engaged in the content NOW is where we need support. We need time to work on what is troubling us.,Agree,Neither agree nor disagree,Agree,Disagree
"Talking about discourse strategies really helped reinforce how important it is for students to talk about math with one another. This doesn't always happen naturally in a remote environment, so I am actively seeking out tools that will help students be more collaborative online.",Agree,Agree,Strongly agree,Agree
"During sessions, facilitators used strategies to engage participates (Chat, break out rooms...). We were able to experience these strategies as a learner and then incorporate them in our online lessons.",Agree,Agree,Strongly agree,Agree
It did not . I asked questions about how this would help me during this time and trainer deflected and did not answer my question.,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree
1,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree
I learned new ways to engage my students in activities to drive instruction and facilitate learning.,Neither agree nor disagree,Strongly agree,Agree,Disagree
Broaden my thoughts on different ways to engage students in discussion.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Chat box routines,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I can't think of anything. Very well organized and thorough,Agree,Agree,Agree,Agree
Having an explanation about how the lessons are laid out and the purpose of each section helped me to really look at how I use the material and how I structure my lessons now. I lo,Agree,Neither agree nor disagree,Agree,Disagree
"Though I learned some valuable information about planning during this course, I was a bit disappointed in the general content. I signed-up thinking that this would be geared toward the materials and resources that we had to use within CMSD and how to more effectively reach my students within this remote learning situation. It was frustrating when the presenter talked about manuals and assessment booklets and student booklets - telling us where we could find certain things, but we do not have any of those books. I feel this course would have been more helpful if we were taught using the materials that we have within our reach.",Disagree,Disagree,Agree,Disagree
"This course was helpful to see the bigger picture how EL curriculum works and how to plan using backward design. The philosophy and vision of EL was made more clearer than the August trainings. The time to collaborate with other teachers in breakout rooms get us a chance to connect and discuss different way we can apply the EL curriculum and goals in our classrooms either remote, hybrid or in person whenever that will be.",Agree,Agree,Agree,Agree
This course helped me find the support resources to help engage all learners. It also gave me ideas on how to be creative and use some of the resources instead of none.,Agree,Strongly agree,Agree,Agree
Unfortunately it didn't help me understand how to do this remotely. I have 50 minutes for ELA and this requires at least 2 hours which doesn't apply right now. It doesn't help that I don't have ANY of the materials in hard copy form.,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree
The course gave me a greater view of the EL program and what is should look like when implemented in the classroom.,Agree,Agree,Strongly agree,Strongly agree
Unfortunately this course did not help me with the online learning aspects. This curriculum is designed to be taught in a 3 hour block and currently I only have 50 minutes to teach ELA. So I am still very confused on how to incorporate this while online. Its also very difficult when scholars don't have the required materials in their hands.,Disagree,Disagree,Agree,Strongly disagree
Helped me to feel more comfortable with navigating through the EL units and modules,Neither agree nor disagree,Agree,Agree,Agree
"The facilitator, Justin Endicott provided resources that had all the EL modules teacher materials and student materials in one location. The student materials can be easily placed in a learning management systerm.",Strongly agree,Agree,Strongly agree,Agree
I am still looking for more ways to make this more accessible for hybird.,Agree,Strongly agree,Strongly agree,Neither agree nor disagree
4,Neither agree nor disagree,Agree,Agree,Disagree
"This course has helped me navigate during COVID-19 by learning about the online resources that are available to me, especially in regards to seeing a teacher manual.",Strongly agree,Strongly agree,Agree,Agree
This has given me some tools and connections to use moving forward with remote learning.,Strongly agree,Strongly agree,Strongly agree,Agree
It helped me by sharing with colleagues my best practices. I enjoyed speaking with them about how to apply EL in the virtual classroom setting.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This course helped me to understand the curriculum in a more depth manner.,Agree,Strongly agree,Agree,Agree
I still have to figure that out. I did realize I can't skip over any part of this curriculum even though it can get a little confusing in a remote environment.,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree
4,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I did not learn any strategies to help teach EL during remote learning.,Strongly agree,Strongly agree,Strongly agree,Disagree
"***Taking this cohort class, has helped me to understand how to keep my students engage in learning while taking accountability remotely.",Agree,Agree,Agree,Agree
Teaching me how use EL,Agree,Agree,Agree,Agree
I don't feel that any part of this bootcamp were focused on adapting the EL curriculum to remote learning.,Agree,Strongly disagree,Agree,Strongly disagree
5,Agree,Agree,Strongly agree,Neither agree nor disagree
N/A,Agree,Agree,Agree,Agree
We really talked about how we can determine what is the most valuable lessons or targets students need so we can deliver what is most important.,Strongly agree,Strongly agree,Strongly agree,Agree
This course helped me to see where to find different activities and resources within the curriculum.,Agree,Agree,Agree,Agree
This bootcamp did NOT specifically address how to teach EL in a remote setting. What came about during our group times was HOW DO WE TEACH THIS VIRTUALLY. Our wonderings are still how to teach virtually and what EL will look like once school starts.We need a part 2 with how to implement EL virtually.,Strongly agree,Agree,Strongly agree,Disagree
I don't fell that this course has helped navigate remote learning at all. No suggestions were given. We were able to talk to other grade level teachers but they have the same concerns.,Agree,Agree,Agree,Disagree
It helped understand useful strategies and where to find support within the curriculum.,Strongly agree,Agree,Neither agree nor disagree,Agree
"Honestly, I don't think the course gave me many ideas on how to use a lot of this program remotely, but I did learn a lot of ideas to use once we are back to in person learning.",Agree,Agree,Strongly agree,Disagree
It helped me to find more resources and I will definitely try to do break out rooms with my students more to give them that gradual release.,Agree,Agree,Strongly agree,Neither agree nor disagree
I have learned how to locate and use the Module at a Glance to plan for upcoming lessons.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"It was just so wonderful to have a ""reset"" and remember what my role is. I've gotten so caught up with attendance, teaching standards, SEL, meeting the needs of my kids, and stress. This meeting demonstrated for me that I'm much more than chasing kids to attend class but that I have to trust that my students can handle differentiation without sacrificing the text.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
Collaborating with other teachers from my grade level.,Agree,Agree,Agree,Agree
It has allowed me to become familiar with EL and helped build my confidence that I can manage and teach the curriculum.,Agree,Agree,Agree,Neither agree nor disagree
"This course has helped me navigate the EL platform a little better. However, it is really hard as a teacher with no paper teacher manuals or student workbooks to teach the EL curriculum completely effectively.",Agree,Agree,Strongly agree,Agree
Talking with other teachers virtually allowed us to see different perspectives and gather ideas from each other.,Agree,Agree,Agree,Agree
This was course was slightly helpful with regards to remote learning. It was challenging to visualize some ideas/strategies that kindergarten students are expected to do.,Agree,Agree,Agree,Neither agree nor disagree
"It has helped me understand where to find presentations to share with my students, how each unit builds upon one another, and it also gave me some ideas on how to teach some of the models in a virtual setting.",Agree,Strongly agree,Agree,Neither agree nor disagree
The course will allow me to master the lesson if I am teaching twice per week. I can reflect on what went well and teach again. If part of the lesson didnt go as well as I think it should then I can make adjustment for the learners and re teach,Agree,Strongly agree,Strongly agree,Agree
4,Agree,Strongly agree,Agree,Agree
None,Agree,Agree,Agree,Agree
5,Agree,Strongly agree,Strongly agree,Neither agree nor disagree
This course has provide me with new ideas to teach my students within the special education population. Has taught me that I can use grade level work to teach complex topics and they can still be successful.,Agree,Agree,Neither agree nor disagree,Agree
4,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree
Instructor provided information about remote learning and access to the curriculum. ,Strongly agree,Strongly agree,Strongly agree,Strongly agree
5,Neither agree nor disagree,Agree,Agree,Disagree
It really has not helped with navigating remote learning. I felt it was more of a review of how to teach shift of learning math but not how to apply it to remote learning.,Agree,Agree,Agree,Disagree
did not improve my remote learning experience,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree
4,Disagree,Disagree,Neither agree nor disagree,Strongly disagree
Try to be more intentional with the teaching and learning in the classroom. Talking with other teachers about Eureka Math and how they use it in the classroom,Strongly agree,Strongly agree,Strongly agree,Agree
4,Strongly agree,Agree,Strongly agree,Agree
5,Agree,Agree,Agree,Agree
Discussions on how to implement strategies online. Share different apps/websites.,Strongly agree,Strongly agree,Strongly agree,Agree
This course helped me discover resources that could be used online to implement the curriculum.,Agree,Agree,Strongly agree,Agree
It motivated me to just be more excited during this virtual time. It was great to be with this dedicated group of teachers.,Strongly agree,Strongly agree,Strongly agree,Agree
This course has given me a deeper understanding of the curriculum and teaching math in general. There were many strategies and routines that will help my teaching in person and virtually. Working with many teachers from different grade levels and schools within the district was very beneficial to see how different teachers used the same resources.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
5,Agree,Agree,Strongly agree,Agree
I am looking forward to getting back to the classroom with this information but I am don't think there were a lot of online strategies or best practices that were incorporated to teach to students.,Agree,Strongly agree,Strongly agree,Disagree
It's encouraged me to continue expecting students to meet their mathematical goals by knowing why they are practicing a certain procedure or skill. I have more ideas on how to pose purposeful questions.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"It helped me realize that not every single problem in the lessons need to be solved, which is key for our work virtually. Our time with the students is short and it is helpful to be able to select problems for students to complete.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
This course allowed me to dive deeper into the Eureka curriculum and understand how to implement these lessons in a more understandable way while we are remote. It gave me a clearer picture.,Agree,Strongly agree,Strongly agree,Agree
5,Strongly agree,Strongly agree,Strongly agree,Agree
The experience of actually working in breakout sessions was beneficial. The engagement was effective. I appreciate the strategy of asking everyone to submit their response in the chat at the same time. I will use this strategy in the future.,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
It was helpful to have breakout room discussions with colleagues and share resources and methods of implementation.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"It forced me to find the Eureka lessons online. I had a hard time finding materials, since I am an Intervention Specialist, and I do not have access to hard copy texts and educational platforms. I had to learn some of the platforms during this boot-camp. I definitely learned a sense of community with the facilitators and teachers. Now I will be able to reach out to teachers in my district and get help or ideas.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
"I learn best my observing. I would like to see more examples of someone teaching lessons. Most of the zoom calls centered around working with other members of my grade level to analyze assessments within the lesson plans. In fact, my group could not figure out how two of our days were different, seemed very repetitive.",Agree,Agree,Agree,Disagree
There was more integration and talking about virtual options.,Disagree,Agree,Strongly agree,Strongly agree
"We are still face to face, so we are working through our modules teaching them in person. I think just seeing how you can and have to scaffold.",Strongly disagree,Disagree,Agree,Strongly disagree
2,Disagree,Disagree,Agree,Neither agree nor disagree
"So we are fully in person, I would say that this training helped me gain a better understanding of close reads. Specifically the annotating the close read helped me figure out what types of questions I have been asking. I also really appreciate sending the link of the Text analysis.",Agree,Agree,Agree,Agree
4,Agree,Agree,Agree,Agree
3,Agree,Agree,Agree,Agree
Not really. We were face to face or hybrid all year.,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree
2,Disagree,Disagree,Neither agree nor disagree,Disagree
lesson ideas for teaching virtually,Strongly agree,Strongly agree,Strongly agree,Strongly agree
5,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
More prepared to deliver instruction online.,Agree,Agree,Agree,Agree
We will have have better lesson plans in place to do reading activities with students.,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
5,Agree,Agree,Agree,Disagree
3,Strongly agree,Agree,Strongly agree,Agree
NA,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
The choice boards were a nice example of what we could try if we go hybrid again!,Agree,Agree,Agree,Agree
We have been f 2 f the whole time,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
"This course has helped me learn how to use different media platforms, such as seesaw. I have also learned and been exposed to other websites and resources that align with EL Foundational Skills. It was also helpful to see where the other kindergarten teams are district wide.",Agree,Disagree,Neither agree nor disagree,Disagree
This training gave me ideas of how I can incorporate the rotations into hybrid learning. It also gave me ideas of how I can differentiate more to meet students needs.,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
4,Agree,Agree,Strongly agree,Neither agree nor disagree
None,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
I did not hear any helpful tips for this during the meetings.,Disagree,Disagree,Neither agree nor disagree,Strongly disagree
It gave me a few choice board options.,Agree,Agree,Disagree,Disagree
I am not sure how this course has helped me navigate for remote or hybrid learning during COIVID-19.,Neither agree nor disagree,Agree,Agree,Strongly disagree
4,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
Since I do not teach foundational skills block I learned about how the program works and helps the students I serve.,Neither agree nor disagree,Agree,Agree,Agree
4,Agree,Agree,Agree,Agree
"The only issue I had was the chrome book freezing and not being able to share with others because my voice was robotic. I was unable to complete the online live editing.Otherwise the course was helpful, and facilitated my reflective aspect of the goals for my classroom.",Disagree,Agree,Strongly agree,Agree
4,Agree,Agree,Agree,Agree
5,Agree,Agree,Agree,Neither agree nor disagree
Meeting the needs of students where they are and doing so with a strengths based mindset.,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
4,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree
Many of the topics discussed had an element of navigating with COVID restrictions or guidelines...we have developed our own way to get through this hurdle and share what each are doing and getting ideas on ways to keep it going as best as we can.,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree
There are many ideas shared that you could do virtually.,Agree,Agree,Agree,Agree
I like seeing the choiceboards as it gives me ideas to use.,Agree,Agree,Agree,Agree
I appreciate time to collaborate with other buildings in our district. We can get so many new ideas.,Agree,Agree,Agree,Agree
"We are learning face-t-face, so I feel this does not apply to us.",Agree,Agree,Agree,Neither agree nor disagree
Showed how independent rotations can still take place even if we were to be teaching virtually.,Neither agree nor disagree,Disagree,Agree,Disagree
"I am not great at technology, but this course has helped me learn more about navigating the many systems that can help me give the best to my students.",Agree,Agree,Strongly agree,Agree
NA,Strongly disagree,Agree,Agree,Neither agree nor disagree
Online learning ideas.,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree
"My students all come to me in person everyday, so I have not had to teach this hybrid yet.",Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
4,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
Ideas of things to do virutal as well in class,Agree,Agree,Agree,Agree
Help me think critically about my teaching.,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
The choice board was a great example of something that could be used in a virtual setting!,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree
Through discussion with other teachers in the district I was able to receive some new ideas for how to implement certain rotations and transitions to make them both virtually friendly and covid friendly in the classroom.,Agree,Agree,Neither agree nor disagree,Agree
More intensive individualized help for students.,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
1. Accessing instructional materials on line.2. Better understanding of meaning of Rigor and Equity in teaching mathematics.,Agree,Agree,Agree,Strongly agree
I have answered all these questions with the link that was in the chat after the final Zoom meeting.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
5,Strongly agree,Strongly agree,Strongly agree,Strongly agree
5,Strongly disagree,Disagree,Agree,Disagree
Bouncing ideas and sharing with colleagues was awesome!,Neither agree nor disagree,Agree,Agree,Agree
Lots of new strategies. I also learned more about how to use eureka from a planning perspective.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This helped me to better understand how to incorporate the different elements of Eureka and to reach all levels of learners in my class.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This course helped me improve my instructional strategies to better plan engaging lessons that involve all learners.,Strongly agree,Strongly agree,Agree,Agree
Having an explanation about how the lessons are laid out and the purpose of each section helped me to really look at how I use the material and how I structure my lessons now. I lo,Agree,Agree,Agree,Agree
2,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I have become more familiar with the Eureka platform online.,Agree,Strongly agree,Strongly agree,Strongly agree
It helped to talk with other teachers in the district to see what they are doing that is working.,Agree,Agree,Agree,Agree
This course helped me navigate remotely by using break out rooms to model student collaboration groups and teacher facilitation.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
The course has helped me to understand which parts will help me to reach my struggling learners the best and where to locate it in the lesson plan.,Agree,Strongly agree,Strongly agree,Agree
I have learned many new online tools to use for remote learning. I have also learned how to be more conscientious of my teaching and more purposeful.,Agree,Agree,Agree,Neither agree nor disagree
Not related to hybrid learning specifically but strengthened teaching practices overall.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Helping with a sense of community and meeting with colleagues to collaborate in breakout rooms,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This course taught me more equitable math teaching practices that I can use in any teaching setting!,Agree,Agree,Strongly agree,Agree
I felt very comfortable and safe to explore the Learning Sessions in teaching math with equity.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
The discussions and examples that were given by other teachers have given some insight and ideas on how to approach the material in other ways virtually.,Neither agree nor disagree,Agree,Agree,Agree
How to dig deeper in questioning and content instead of trying to cover a certain amount of content.,Agree,Agree,Agree,Agree
"I did find help from other teachers sharing what they do to get around the Great Minds App. within our learning platform. Many of us came here because we are so frustrated trying to figure out the Great Minds App. and where to get things we need for class. However, this class was very beneficial for me seeing how they pull it all in together and how to continue to teach the lessons with more understanding and appreciation for the conceptual knowledge we build. So in the end, I will plan much better Math lessons.",Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
I learned a few more platforms like Moodle and Nearpod. I see the struggle that students have when their questions cannot be answered as well as they would like.,Disagree,Agree,Agree,Agree
It exposed me to nearpod and this provide me opportunity to collaborate with other math educators in the district and share resources.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I have been use Eureka virtually by showing the video or share screen of the module task.,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
We are already open and have been since the beginning.,Agree,Agree,Strongly agree,Neither agree nor disagree
We are in-person; it helped with collaboration time with PLCs.,Agree,Agree,Disagree,Neither agree nor disagree
"Honestly, this course is helpful, but not being in the classroom some assignments are difficult to do because I do not have students. I have learned a great deal of knowledge from my peers. Each presenter as well as the classmates are very helpful and knowledgeable of math.",Agree,Agree,Disagree,Agree
4,Strongly agree,Agree,Agree,Neither agree nor disagree
I can't think of anything. Very well organized and thorough,Agree,Agree,Agree,Agree
4,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree
I actually thought the class would contain more work with the Eureka math book.,Agree,Agree,Strongly agree,Strongly disagree
4,Neither agree nor disagree,Strongly agree,Strongly agree,Agree
I was able to learn a little more about how I can apply equity virtually.,Strongly agree,Strongly agree,Agree,Neither agree nor disagree
It is hard right after teaching all day and with a toddler at home so it might be easier to have more courses but a shortened amount of time.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
3,Agree,Strongly agree,Agree,Agree
"It did not. I wanted to learn about more in depth practices with EL. I feel like I could learn more about the TPT practices from a book (and I did--Larry gave me a copy of one). I am already heavily implementing the EL curriculum. I am looking for help in differentiating the curriculum for lower level learners, making sure some of my high flyers are able to continue to soar and making sure that I am focusing enough on the social studies component of the curriculum (because I still have serious concerns that I am shortchanging that subject area).",Strongly disagree,Strongly disagree,Agree,Strongly disagree
Learning how to use Jamboard and Whiteboard was awesome in this remote world.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
5,Agree,Strongly agree,Strongly agree,Agree
"This course supported growth in the area of pedagogy, mathematical shifts, (rigor, coherence, and focus), the 8 mathematical practices, and teaching students equitably while instructing.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
With talking with colleagues gained some rich resources,Agree,Agree,Agree,Agree
3,Strongly agree,Strongly agree,Strongly agree,Strongly agree
5,Disagree,Strongly agree,Strongly agree,Disagree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"I wish we had discussed this more. It did come up in the Give 1, Get 1 discussion board, so I did find other teachers' ideas helpful.",Agree,Strongly agree,Strongly agree,Disagree
5,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This course is an example on how to run a hybrid learning classroom with the use of different websites and breakout rooms.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
5,Agree,Agree,Strongly agree,Strongly agree
5,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"More than anything, talking to fellow teachers helped me feel a sense of community. I would like to see this applied more overall.",Agree,Strongly agree,Strongly agree,Agree
It was good to work with some peers from other schools and see how they use the program.,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
This is good information for new or struggling teachers. I feel this is a college methods course. All of the content is good. It would help teachers more to have strategies and supports for what we are doing now. Many of the things we are learning will help when we have children in front of us. The struggle to get kids engaged in the content NOW is where we need support. We need time to work on what is troubling us.,Agree,Neither agree nor disagree,Agree,Disagree
"Talking about discourse strategies really helped reinforce how important it is for students to talk about math with one another. This doesn't always happen naturally in a remote environment, so I am actively seeking out tools that will help students be more collaborative online.",Agree,Agree,Strongly agree,Agree
I learned new ways to engage my students in activities to drive instruction and facilitate learning.,Neither agree nor disagree,Strongly agree,Agree,Disagree
"It has shown the importance of collaboration with coworkers in varies areas such zoom engagement and other areas. The course has helped me recognize not missing the small steps along the way with distant learning such as turn and talk, and responding as a group so everyone has had time to think of something before everyone else has answered already.",Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree
It has not.,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree
