date_for_the_session,professional_training_session,select_your_site_district_parish_or_network,select_the_best_description_for_your_role,select_the_grade_band_s_you_focused_on,learning_session_satisfaction,todays_topic_was_relevant_for_my_role,designed_to_help_me_learn,learning_to_try_out,likely_to_apply_46_weeks,select_the_name_of_your_first_facilitator,s_he_facilitated_the_content_clearly_12,s_he_effectively_built_a_community_of_learners_13,did_you_have_a_second_facilitator,select_the_name_of_your_second_facilitator,s_he_facilitated_the_content_clearly_16,s_he_effectively_built_a_community_of_learners_17,overall_what_went_well_in_this_professional_learning,which_activities_best_supported_your_learning,what_could_have_improved_your_experience,likely_to_recommend_colleague_friend,why_did_you_choose_this_rating,do_you_have_additional_comments
2019-10-09,"IM Student Thinking, Day 1",Building 21,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,"Concentrating on writing focus questions before lessons, and predicting responses from students.",Strongly agree,Evan,Strongly agree,Strongly agree,NA,NA,NA,NA,"The explanation of the pedagogy behind IM, and how we should be adjusting to it",Reading the differences between examples of focus and funnel,maybe a few more breaks,10,"Although it is a long day, it went by more quickly than I thought it would",no
2019-10-09,"IM Student Thinking, Day 1",Building 21,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,I am excited to try the questions that we came up.,Strongly agree,Evan,Strongly agree,Strongly agree,NA,NA,NA,NA,Evan is knowledgeable and kept us on task,The lesson internalization guide,Nothing,10,I appreciate that the facilitator is a math teacher,no
2019-10-09,"IM Student Thinking, Day 1",Building 21,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Focusing on questioning students using focusing questions instead of funneling questions.,Strongly agree,Evan,Strongly agree,Strongly agree,NA,NA,NA,NA,Working on creating focusing questions with enough time to ask questions on how to create them.,Teacher Role play with questions that were created.,none,8,It has helped me understand the curriculum and look at it in a different way to discover different types of questions.,no
2019-10-09,"IM Student Thinking, Day 1",Building 21,Teacher or specialist,NA,Strongly agree,Strongly agree,Agree,Questioning techniques,Strongly agree,Evan,Strongly agree,Strongly agree,NA,NA,NA,NA,Everything went well.,Talking with colleagues.,Nothing was missing.,8,I have liked all that I have heard.,NA
2019-10-09,"IM Student Thinking, Day 1",Building 21,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Improvement of questioning techniques.,Strongly agree,Evan,Strongly agree,Strongly agree,NA,NA,NA,NA,Entire day was excellent.,Lesson Practice,Nothing noted.,10,Presenter was excellent.,NA
2019-10-09,"IM Student Thinking, Day 1",Building 21,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Better focusing questions being used in class.,Strongly agree,Evan,Strongly agree,Strongly agree,NA,NA,NA,NA,I liked looking at the lesson and breaking it down using the lesson Internalization and Preparation guide.,The writing of questions,More movement.,10,I like what they believe in.,NA
2019-10-09,"IM Student Thinking, Day 1",Building 21,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Focusing questions,Strongly agree,Evan,Strongly agree,Strongly agree,NA,NA,NA,NA,Collaboration time to think through questioning,"Role play, even though it's uncomfortable.",teacher book to make notes in,10,Very organized and focused on student understanding,NA
2019-09-27,"IM Student Thinking, Day 1",Freire Charter Schools,Teacher or specialist,NA,Disagree,Agree,Disagree,focusing questions,Neither agree nor disagree,Lindsay,Agree,Agree,NA,NA,NA,NA,n/a,n/a,5th grade doing something different since we dont have the IM curriculum and the one we do have is still terrible,5,seems more suited for new teachers as opposed to veteran teachers,NA
2019-09-27,"IM Student Thinking, Day 1",Freire Charter Schools,Teacher or specialist,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Non funneling,Agree,Lindsay,Agree,Agree,NA,NA,NA,NA,Delivery by instructor,Modeling,I need more time to process it on my own and not much guided PD,5,It is not differentiated enough,NA
2019-09-27,"IM Student Thinking, Day 1",Freire Charter Schools,Teacher or specialist,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Looking at an upcoming lesson and planning out focusing questions,Agree,Lindsay,Agree,Agree,NA,NA,NA,NA,Chance to plan with my grade,Joint planning time.,The rundown of the agenda took 25 minutes.,5,It's basic strategy planning. Great for newer teachers.,NA
2019-09-27,"IM Student Thinking, Day 1",Freire Charter Schools,Teacher or specialist,NA,Strongly disagree,Strongly disagree,Strongly disagree,Focus questions,Strongly agree,Lindsay,Neither agree nor disagree,Disagree,NA,NA,NA,NA,When we able to look at the material,planning,more planning time,2,We need more time to plan,NA
2019-09-27,"IM Student Thinking, Day 1",Freire Charter Schools,Teacher or specialist,NA,Disagree,Neither agree nor disagree,Neither agree nor disagree,Giving students the options for all of their ideas to be shown,Strongly agree,Lindsay,Agree,Agree,NA,NA,NA,NA,Conversations with colleagues,Demo and group discussions,Give us more guidance with IM and how to implement it,8,research based,NA
2019-09-27,"IM Student Thinking, Day 1",Freire Charter Schools,Teacher or specialist,NA,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,funneling questions,Strongly agree,Lindsay,Neither agree nor disagree,Neither agree nor disagree,NA,NA,NA,NA,collaboration,group discussions,give us more time to explore and teach us IM,5,research based,NA
2019-09-27,"IM Student Thinking, Day 1",Freire Charter Schools,Teacher or specialist,NA,Agree,Strongly agree,Strongly agree,Using focusing questions to guide my students thinking and making sure I write all solutions on the board.,Strongly agree,Lindsay,Agree,Strongly agree,NA,NA,NA,NA,sharing different ideas,discussing with the whole group and asking questions,diving more into the content I am using- more time planning,8,They are research based,NA
2019-09-27,"IM Student Thinking, Day 1",Freire Charter Schools,Teacher or specialist,NA,Agree,Agree,Agree,Student led dialogue and teacher as guide,Strongly agree,Lindsay,Agree,Agree,NA,NA,NA,NA,Time to collaborate.,Lesson planning and the demo,More ways to scaffold and support,8,It felt balanced and cohesive,No
2019-09-27,"IM Student Thinking, Day 1",Freire Charter Schools,Teacher or specialist,NA,Agree,Strongly agree,Agree,Focusing questions,Strongly agree,Lindsay,Strongly agree,Strongly agree,NA,NA,NA,NA,Community,Discussion,Nothing,7,It depends on the level of teacher you are looking to train,NA
2019-09-27,"IM Student Thinking, Day 1",Freire Charter Schools,Teacher or specialist,NA,Agree,Strongly agree,Strongly agree,collecting all student thinking on board for equitable practices,Strongly agree,Lindsay,Strongly agree,Agree,NA,NA,NA,NA,demo lesson,demo lesson,more time planning for the lesson,9,"good instruction, sometimes repetative",NA
2019-09-27,"IM Student Thinking, Day 1",Freire Charter Schools,School-based administrator or supervisor,NA,Agree,Strongly agree,Agree,Encouraging teachers to validate all answers and engage in productive struggle.,Strongly agree,Lindsay,Agree,Agree,NA,NA,NA,NA,Planning time,The demo of focusing questions applied in a lesson,Time for teach backs,9,Hands on strategies rooted in curriculum,Thank you!
2019-09-27,"IM Student Thinking, Day 1",Freire Charter Schools,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Implementing the focusing question more in my lessons,Strongly agree,Lindsay,Strongly agree,Strongly agree,NA,NA,NA,NA,The demo lesson,focusing questions,nothing,10,Thoughtful and useful session,no
2019-09-27,"IM Student Thinking, Day 1",Freire Charter Schools,Teacher or specialist,NA,Strongly agree,Agree,Strongly agree,staying away from funneling questions even with the most struggling students.,Strongly agree,Lindsay,Strongly agree,Agree,NA,NA,NA,NA,Having a modeled lesson,discussion,not have the person taking pictures for 10 minutes,9,not in a position to do that,NA
2019-09-27,"IM Student Thinking, Day 1",Freire Charter Schools,Teacher or specialist,NA,Strongly agree,Agree,Strongly agree,"Having other students restate student strategies, writing ALL strategies on board",Strongly agree,Lindsay,Strongly agree,Strongly agree,NA,NA,NA,NA,Lesson run through,Discussions,Unfinished learning discussions,9,Very effective overall,NA
2019-12-11,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 6-8,Agree,Strongly agree,Neither agree nor disagree,The new table with the three columns.,Strongly disagree,John,Agree,Agree,Yes,Evan,Agree,Strongly agree,We were able to collaborate amongst the grade levels.,Group talk and share,A lesson being taught from an IM facilitator,8,He was a pleasant facilitator and kept the lesson moving smoothly.,NA
2019-12-11,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 6-8,Agree,Agree,Agree,refocusing lesson,Strongly agree,John,Strongly agree,Strongly agree,Yes,Evan,Neither agree nor disagree,Neither agree nor disagree,The time given to look at lessons,The action planing,Watching another teacher who has been using the program teach a lesson,9,.,NA
2019-12-11,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 9-12,Agree,Agree,Agree,reengagement strategy,Agree,Evan,Strongly agree,Strongly agree,Yes,John,Agree,Agree,discussion,practice of re engagement,temperature,7,"Staff is good, not sold on IM curriculum",NA
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Agree,Agree,Agree,Gallery walk,Neither agree nor disagree,Fitz,Strongly agree,Agree,NA,NA,NA,NA,There was great discussion and we were able to watch a video that allowed us to dissect a teachers questioning.,Group discussions,Nothing,8,Fitz does a great job answering the questions that are asked by the other teachers.,NA
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Error analysis questions,Agree,Fitz,Agree,Agree,NA,NA,NA,NA,Error analysis questions,Error Analysis,N/A,5,Not enough relevant content.,NA
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Neither agree nor disagree,Agree,Neither agree nor disagree,Re-Engagement Mini-Lessons/Analyzing student work,Agree,Fitz,Agree,Agree,NA,NA,NA,NA,I really liked hearing what other teachers were doing throughout the network.,I liked working and discussing what is going on in my classes with my coworkers and people in the district.,I can't think of anything right now!,7,"There are good parts of it, but also parts that I feel like we could have done ourselves.",NA
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Agree,Agree,Agree,Reengagement,Agree,Fitz,Agree,Agree,NA,NA,NA,NA,I liked the evidence analysis.,Evidence analysis,Breakfast!,7,Sometimes I feel like it should be more focused on content taught. Like an algebra 2 specific session,NA
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Neither agree nor disagree,Neither agree nor disagree,Agree,error analysis,Strongly agree,Fitz,Agree,Strongly agree,NA,NA,NA,NA,group work,re-engagment,addressing problems experienced,7,_,NA
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Agree,Strongly agree,Strongly agree,Examining student work to plan for reengagement,Strongly agree,Fitz,Agree,Agree,NA,NA,NA,NA,Learning about how to reengage student learning,Analyzing our students' work,More practice on how to apply this to our students.,10,Building understanding over time,NA
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Agree,Strongly agree,Agree,Reteaching content that students may not have understood the first time around.,Strongly agree,Fitz,Agree,Agree,NA,NA,NA,NA,Engagement,Re-engagement,N/a,8,N/a,NA
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Agree,Agree,Agree,Teaching a re-engagement lesson,Strongly agree,Fitz,Agree,Agree,NA,NA,NA,NA,I think the activities were more centered around my own classroom which I liked.,I liked looking at my students' misconceptions so that I could plan a re-engagement lesson that would be impactful.,"Understanding that I should have brought a cool-down, not just something that showed student thinking.",5,Some of the sessions I don't think I got the most out of. Today was a little better because it was more aligned around my own classroom.,NA
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Agree,Agree,Strongly agree,Re engagement,Strongly agree,Fitz,Strongly agree,Strongly agree,NA,NA,NA,NA,Reengagment,Group discussion,Not missing my school based PD,9,It’s thorough,NA
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Strongly agree,Neither agree nor disagree,Strongly agree,Re-engagement,Strongly agree,Fitz,Strongly agree,Strongly agree,NA,NA,NA,NA,"There was a lot of collaboration. When sharing answers, it led to debates but insightful debates.",Identifying the stronger work,N/A,8,It’s beneficial for those who use the curriculum.,NA
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Strongly agree,Agree,Agree,comparing student examples to expand thinking,Strongly agree,Fitz,Strongly agree,Strongly agree,NA,NA,NA,NA,time to talk with my school peers,review of student work with others as a group,more understanding of material to start,6,not in a position to recommend and I bet it is expensive,NA
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Re-teaching strategies,Strongly agree,Fitz,Strongly agree,Strongly agree,NA,NA,NA,NA,Using the student work to find the students unfinished learning.,Discussing the work with our team.,We had a lot of time to evaluate such a small amount of work.,10,Fitz does a good job at reading the group and keeping a positive learning environment. This kept us engaged and helped us to work better.,NA
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Re-engangement lessonsl.,Strongly agree,Fitz,Strongly agree,Strongly agree,NA,NA,NA,NA,Everything,Looking at student work samples,N/A,8,I like the facilitator.,No
2019-11-27,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,NA,Disagree,Neither agree nor disagree,Disagree,Showing student work to students to help them reason what went wrong.,Neither agree nor disagree,Evan,Disagree,Neither agree nor disagree,NA,NA,NA,NA,Practicing the reengagement lesson.,Looking at student work.,More background knowledge.,5,The professional development today was not very engaging to my current needs in my classroom.,No
2019-11-27,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,NA,Neither agree nor disagree,Neither agree nor disagree,Disagree,Re-Engagment,Agree,Evan,Disagree,Neither agree nor disagree,NA,NA,NA,NA,B21 specific time at the end to work on what we need to get done.,B21 specific time at the end to work on what we need to get done.,More B21 specific time at the end to work on what we need to get done.,6,I don't feel these PDs are that useful,No
2019-12-11,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 9-12,Agree,Agree,Strongly agree,re-engagement strategies,Agree,Evan,Agree,Agree,No,NA,NA,NA,re-engagement,the compare and contrast,n/a,7,not sure if applicable to other curriculum,n/a
2019-12-11,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 9-12,Agree,Strongly agree,Agree,Relearning process,Agree,Evan,Strongly agree,Strongly agree,No,NA,NA,NA,Analysis,Practice re-engagement,Better lunch,8,Some bugs to work out,No
2019-12-11,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 9-12,Agree,Agree,Neither agree nor disagree,re-engagement strategies,Agree,Evan,Agree,Agree,No,NA,NA,NA,Good strategies were introduced to try out in class,Working with course teams in order create a plan for next semester,N/A,6,N/A,NA
2019-11-27,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,NA,Agree,Agree,Agree,re-engagement strategies,Agree,Evan,Agree,Agree,NA,NA,NA,NA,methods of re-engagement,teaching a re-engagement lesson,n/a,8,The session was helpful,NA
2019-12-20,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 9-12,Strongly agree,Agree,Agree,Reengagement lessons,Agree,Evan,Strongly agree,Strongly agree,No,NA,NA,NA,Time to plan and practice a reengagement lesson,Time to plan and practice a reengagement lesson,More discussion about obstacles we've run into in class and collective trouble-shooting,8,The session was great,NA
2019-11-27,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,NA,Neither agree nor disagree,Agree,Disagree,Incorporating ways to have students meet and discuss the mathematic they're learning.,Strongly agree,Evan,Neither agree nor disagree,Neither agree nor disagree,NA,NA,NA,NA,Opportunity to change the materials to fit the needs of the school,Creating the materials for the re-engagement.,Allowing more time to integrate the curriculum into our school model.,7,Flexibility in contnent,no
2019-12-11,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 6-8;Grades 9-12,Agree,Agree,Agree,all,Strongly agree,Evan,Agree,Agree,No,NA,NA,NA,all,all,time,8,Support is always given.,NA
2019-11-27,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,NA,Agree,Agree,Agree,Comparing and contrasting student work as a way of reteaching to fill in their unfinished learning.,Strongly agree,Evan,Neither agree nor disagree,Neither agree nor disagree,NA,NA,NA,NA,Planning a re-engagement lesson with the cool down from a recent lesson was very helpful. I feel like my colleagues who chose cool downs from earlier in the year did not get as much from it.,The classroom evidence analysis of our own students.,A few more breaks but they can be shorter.,5,Feels like an introductory college course.,No.
2019-11-27,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,NA,Agree,Agree,Strongly agree,Using Cool Downs as data and re-engagement tools. Capturing transcripts and student work.,Strongly agree,Evan,Agree,Neither agree nor disagree,NA,NA,NA,NA,Re-engagement prep and practice.,Re-engagement prep and practice.,Cushioned chair,5,a,NA
2019-12-20,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 9-12,Strongly agree,Strongly agree,Strongly agree,Revisiting student work with an eye toward student-led analysis.,Strongly agree,Evan,Strongly agree,Strongly agree,No,NA,NA,NA,"Despite a little bit of a time constraint, the material was covered effectively",Modeling the lesson,More preparation on my end prior to the lesson.,10,The feedback and back and forth between us and the presenter worked well.,NA
2019-12-20,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 9-12,Strongly agree,Strongly agree,Strongly agree,Re-engagement lesson.,Strongly agree,Evan,Strongly agree,Strongly agree,No,NA,NA,NA,Free-flowing and casual environment lent itself to productive conversation.,Role play practice time.,More independent think-time to plan.,9,Evan is a great facilitator.  Makes things easy.,NA
2019-12-11,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 9-12,Strongly agree,Strongly agree,Agree,Re-engagement Lesson,Strongly agree,Evan,Strongly agree,Strongly agree,No,NA,NA,NA,I enjoyed the time to collaborate with my colleagues with a focus.,Talking about our struggles and focusing them.,"Nothing, it was good.",8,I appreciate the time and focus the training provided.,No
2019-12-11,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 9-12,Strongly agree,Strongly agree,Agree,That I can still use my knowledge base to teach and not just rely on IM,Strongly agree,Evan,Strongly agree,Strongly agree,No,NA,NA,NA,Time to talk out feelings.,Talking to colleagues.,Not.,7,"Evan is fine and talking about teaching is always helpful, but I am not happy with being told how to think about my teaching.",The day was great.
2019-12-11,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 9-12,Strongly agree,Strongly agree,Strongly agree,Re-thinking focus questions and having a better grasp of what they sound like,Strongly agree,Evan,Strongly agree,Strongly agree,No,NA,NA,NA,"I had a second training to go to today, so having a half day of this PD almost meant more to me than an entire day. A full day requires so much focus and energy. It was nice to think deeply about half of today's content.",Getting super meta about student responses to student responses ha,"I can't speak for others, but the half-day for me helped me dive deep into that content",10,"The paradigm, although tough to grasp at first, has its merit and should be adopted by all teachers.",nah
2019-12-11,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 9-12,Strongly agree,Strongly agree,Strongly agree,Re-Engagement,Strongly agree,Evan,Strongly agree,Strongly agree,No,NA,NA,NA,practicing reengagement lesson,practicing as a student and teacher,nothing,10,He's Great!,no
2019-12-11,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 9-12,Strongly agree,Strongly agree,Strongly agree,The re-engagement activities,Strongly agree,Evan,Strongly agree,Strongly agree,No,NA,NA,NA,collaboration,looking at student examples and using them for re-engagement activity,different lunch choice,9,time for collaboration,NA
2019-12-11,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 9-12,Strongly agree,Strongly agree,Strongly agree,Re-engagement activity,Strongly agree,Evan,Strongly agree,Strongly agree,No,NA,NA,NA,Practice Activity.,Acting out lessons,Get up and move around more.,9,Good feedback and strategies to take away.,NA
2019-12-11,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 6-8,Agree,Agree,Neither agree nor disagree,We discussed dilemmas we were having. Discussion followed with ideas from peers. This was most beneficial because it was real to me directly.,Agree,John,Strongly agree,Strongly agree,No,NA,NA,NA,Time to discuss problems with peers,I like time to work on our own individual lessons and to discuss with peers.,Don't need to role-play or complete paperwork. Just need time to plan lessons!,6,Too much paperwork and busy work. Just need time to plan with peers.,NA
2019-12-11,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,"NA",Strongly agree,John,Strongly agree,Strongly agree,No,NA,NA,NA,"NA","NA","NA",10,"NA",NA
2019-12-11,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Implementing the re-engagement activity,Strongly agree,John,Strongly agree,Strongly agree,No,NA,NA,NA,The information,The practice activities,nothing,10,It was informative,NA
2019-12-11,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,The re-engagement lesson,Strongly agree,John,Strongly agree,Strongly agree,No,NA,NA,NA,collaboration,doing it with my own work,nothing,10,I have learned alot,NA
2019-12-11,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Re-engagement and using the analysis tools to help guide where re-engagement needs to take place.,Strongly agree,John,Strongly agree,Strongly agree,No,NA,NA,NA,The facilitator was very good at guiding the time and discussion so that the learning was maximized.,Classroom evidence analysis tool and the consultancy protocol,It was a very good teaching lab experience today!,9,The experience today with Mrl. Silverthorne was excellent.,Today I feel encouraged about the continuance of IM for the rest of the school year.
2019-12-11,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Re-engagement,Strongly agree,John,Strongly agree,Strongly agree,No,NA,NA,NA,Learning about re-engagement,Working with colleagues,nothing,10,It was beneficial to my teaching,IT was great
2019-12-11,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Implementing the re-engagement lesson for unfinished learners,Strongly agree,John,Strongly agree,Strongly agree,No,NA,NA,NA,John did a great job of pacing the material and allowing collaboration time among our colleagues. We role played a re-engagement lesson and discussed dilemmas in groups.,Discussing student work and planning for unfinished learning with colleagues,This professional learning fulfilled my teaching needs at this point. John did a great job!,10,Our presenter was patient and a great communicator. He was clear and focused.,NA
2019-12-11,"IM Student Thinking, Day 2",Building 21,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Asking our peers about issues that we are struggling with.,Strongly agree,John,Strongly agree,Strongly agree,No,NA,NA,NA,Just learning about the different resources to choose from.,Re-teaching approach.,N/A,10,It felt comfortable in this type of environment.,I enjoyed the atmosphere today for training.
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Disagree,Disagree,Strongly disagree,none,Disagree,Lindsay,Agree,Agree,NA,NA,NA,NA,Talked with colleagues about upcoming lessons,planning a lesson for next week,super dry; not concrete enough for me,4,It's not as engaging as I hope for,no
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Agree,Agree,Agree,The informational gap,Agree,Lindsay,Agree,Agree,NA,NA,NA,NA,The time to work with my colleagues.,Having the time to unpack.,Vertical alignment to scaffold strategies is access is a problem.,8,It is balanced.,No
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Agree,Agree,Strongly agree,Stepping back and giving my students time to chew on the questions I ask.,Agree,Lindsay,Strongly agree,Strongly agree,NA,NA,NA,NA,Ample planning time was very nice to have.,Planning a lesson & role playing focusing questions.,none,6,"5th grade math isn't really supported by IM. Things are relevant but not, if that makes sense.",NA
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Neither agree nor disagree,Agree,Neither agree nor disagree,"Deeper questions, not telling them the answer",Strongly agree,Lindsay,Neither agree nor disagree,Neither agree nor disagree,NA,NA,NA,NA,time to plan,"planning, videos of examples","I dont need to follow protocols, just open planning time ending with questioning practice",6,Have had it before so it is not much that differentiates it and think it can be done through readings and watching videos on your own,NA
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Agree,Strongly agree,Agree,addressing misconceptions,Strongly agree,Lindsay,Strongly agree,Strongly agree,NA,NA,NA,NA,addressing misconceptions with different teachers,planning with grade level teams,n/a,8,the continuous professional developments and feedback from observations,n/a
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Agree,Agree,Agree,Thinking more about questioning,Strongly agree,Lindsay,Agree,Agree,NA,NA,NA,NA,Planning,Deep diving,Time. The problem is always time,7,It feels redundant at times,NA
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Agree,Agree,Agree,Better eliciting student thinking,Strongly agree,Lindsay,Strongly agree,Strongly agree,NA,NA,NA,NA,Collaboration with team members,Listening to my recording,Nothing,9,I am enjoying this program more and more as I go along,NA
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Agree,Strongly agree,Agree,I want to plan more for questioning through effectively using co-teaching models,Strongly agree,Lindsay,Strongly agree,Strongly agree,NA,NA,NA,NA,questioning role play,questioning role play,always more time to plan with other co-teacher,9,focused on our needs,NA
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Agree,Strongly agree,Strongly agree,Focusing questions that allow students to clarify ideas,Strongly agree,Lindsay,Strongly agree,Strongly agree,NA,NA,NA,NA,Being able to work with my team to come up with focusing questions to elicit student thinking,Going through the PLC worksheet and the practicing it all out and finding student misconceptions,Nothing,7,The training is helpful and has been tailored to what we have asked,NA
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Agree,Agree,Agree,Implementing better more purposeful questions,Strongly agree,Lindsay,Strongly agree,Strongly agree,NA,NA,NA,NA,practicing real lessons with peers and hearing my lesson,same as above,less time watching a 5th grade video,1,i wouldn't recommend a lab to a colleague or friend because that's above my pay grade.,NA
2019-10-25,"IM Student Thinking, Day 2",Freire Charter Schools,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,"For the students who answered the question wrong, have a student help them, but then have the student who got the answer wrong, repeat the question.",Strongly agree,Lindsay,Strongly agree,Strongly agree,NA,NA,NA,NA,"Review of the audio, planning time",Review of the audio,nothing- went smoothly,10,"Overall, great session",no
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Strongly disagree,Strongly agree,Strongly disagree,I already do these things,Neither agree nor disagree,Ryan C,Neither agree nor disagree,Strongly disagree,NA,NA,NA,NA,Some time to collaborate,Looking through student work,Not being in teacher chosen groups. Being able to talk more to the people in my building.,0,Not a whole lot of new content. Need tine to talk to my group.,No
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Agree,Agree,Neither agree nor disagree,Re-teaching a lesson through students examining work.,Neither agree nor disagree,Ryan C,Agree,Agree,NA,NA,NA,NA,The conversations,Practicing the modules.,Better partnering,6,It is beneficial but some teachers might not take it seriously.,NA
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Neither agree nor disagree,Agree,Neither agree nor disagree,re-engagement lesson,Agree,Ryan C,Agree,Agree,NA,NA,NA,NA,small group learning,re-engagement lesson small group conversation,it is a very long day,7,I'm not sure the opportunity to choose this pd will be available to my colleagues,Yes
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Agree,Agree,Agree,Re-Engagement.,Agree,Ryan C,Strongly agree,Strongly agree,NA,NA,NA,NA,The pacing of the lesson.,Small group teaching,None.,8,The PD was well done.,NA
2019-11-19,"IM Student Thinking, Day 2",Cincinnati Public Schools/ STRIVE,Teacher or specialist,NA,Strongly agree,Agree,Agree,Furthering student discussion,Agree,Ryan C,Strongly agree,Strongly agree,NA,NA,NA,NA,Fun new ideas,Cool down,Better weather pressure so no killer headache,9,I dont talk to people a whole lot.,No
